season,game_id,date,matchup,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,total_points,point_differential
2023,0022300103,2023-10-30,BOS @ WAS,Washington Wizards,WAS,107,False,0.448,0.306,0.692,40,26,15,Boston Celtics,BOS,126,True,0.5,0.358,0.714,51,31,17,233,19
2023,0022300108,2023-10-30,GSW @ NOP,New Orleans Pelicans,NOP,102,False,0.409,0.256,0.615,39,23,11,Golden State Warriors,GSW,130,True,0.52,0.366,0.65,64,28,14,232,28
2023,0022300109,2023-10-30,OKC vs. DET,Oklahoma City Thunder,OKC,124,True,0.53,0.448,0.821,44,21,15,Detroit Pistons,DET,112,False,0.429,0.536,0.792,41,31,16,236,12
2023,0022300107,2023-10-30,MIL vs. MIA,Milwaukee Bucks,MIL,122,True,0.506,0.324,0.733,43,24,14,Miami Heat,MIA,114,False,0.477,0.382,0.95,40,27,14,236,8
2023,0022300101,2023-10-30,BKN @ CHA,Charlotte Hornets,CHA,121,False,0.49,0.258,0.95,39,33,9,Brooklyn Nets,BKN,133,True,0.563,0.364,0.719,46,25,13,254,12
2023,0022300106,2023-10-30,MEM vs. DAL,Memphis Grizzlies,MEM,110,False,0.457,0.378,0.6,44,22,12,Dallas Mavericks,DAL,125,True,0.5,0.489,0.75,48,24,15,235,15
2023,0022300110,2023-10-30,UTA @ DEN,Denver Nuggets,DEN,110,True,0.56,0.321,0.412,43,32,12,Utah Jazz,UTA,102,False,0.429,0.297,0.467,51,30,12,212,8
2023,0022300111,2023-10-30,ORL @ LAL,Los Angeles Lakers,LAL,106,True,0.532,0.296,0.778,40,28,16,Orlando Magic,ORL,103,False,0.4,0.4,0.722,44,28,11,209,3
2023,0022300105,2023-10-30,POR @ TOR,Toronto Raptors,TOR,91,False,0.404,0.138,0.733,47,19,11,Portland Trail Blazers,POR,99,True,0.447,0.314,0.8,51,20,14,190,8
2023,0022300104,2023-10-30,MIN @ ATL,Atlanta Hawks,ATL,127,True,0.558,0.467,0.944,36,28,9,Minnesota Timberwolves,MIN,113,False,0.489,0.485,0.6,38,24,10,240,14
2023,0022300102,2023-10-30,IND vs. CHI,Indiana Pacers,IND,105,False,0.409,0.261,0.84,47,26,17,Chicago Bulls,CHI,112,True,0.46,0.353,0.839,44,19,13,217,7
2023,0022300113,2023-10-31,PHX vs. SAS,Phoenix Suns,PHX,114,False,0.506,0.462,0.8,43,29,19,San Antonio Spurs,SAS,115,True,0.467,0.378,0.75,37,25,12,229,1
2023,0022300112,2023-10-31,NYK @ CLE,Cleveland Cavaliers,CLE,91,False,0.391,0.263,0.75,46,19,15,New York Knicks,NYK,109,True,0.442,0.382,0.8,48,18,14,200,18
2023,0022300114,2023-10-31,LAC vs. ORL,LA Clippers,LAC,118,True,0.494,0.452,0.696,44,29,16,Orlando Magic,ORL,102,False,0.469,0.233,0.576,40,23,16,220,16
2023,0022300116,2023-11-01,MIL @ TOR,Toronto Raptors,TOR,130,True,0.56,0.395,0.929,50,35,16,Milwaukee Bucks,MIL,111,False,0.461,0.382,0.737,29,19,12,241,19
2023,0022300120,2023-11-01,CLE @ NYK,New York Knicks,NYK,89,False,0.348,0.167,0.667,50,18,13,Cleveland Cavaliers,CLE,95,True,0.432,0.375,0.95,46,22,18,184,6
2023,0022300123,2023-11-01,DEN @ MIN,Minnesota Timberwolves,MIN,110,True,0.458,0.381,0.963,47,20,13,Denver Nuggets,DEN,89,False,0.396,0.182,0.7,43,23,15,199,21
2023,0022300121,2023-11-01,OKC vs. NOP,Oklahoma City Thunder,OKC,106,False,0.432,0.206,0.92,49,23,14,New Orleans Pelicans,NOP,110,True,0.392,0.31,0.586,58,23,10,216,4
2023,0022300118,2023-11-01,IND @ BOS,Boston Celtics,BOS,155,True,0.568,0.571,0.964,57,27,11,Indiana Pacers,IND,104,False,0.455,0.135,0.583,31,26,9,259,51
2023,0022300126,2023-11-01,SAC @ GSW,Golden State Warriors,GSW,102,True,0.481,0.355,0.867,36,32,17,Sacramento Kings,SAC,101,False,0.409,0.314,0.783,48,24,12,203,1
2023,0022300119,2023-11-01,BKN @ MIA,Miami Heat,MIA,105,False,0.429,0.342,0.778,46,22,16,Brooklyn Nets,BKN,109,True,0.451,0.444,0.731,47,27,18,214,4
2023,0022300124,2023-11-01,CHI @ DAL,Dallas Mavericks,DAL,114,True,0.457,0.417,0.714,45,23,13,Chicago Bulls,CHI,105,False,0.472,0.333,0.909,43,19,13,219,9
2023,0022300115,2023-11-01,DET vs. POR,Detroit Pistons,DET,101,False,0.444,0.379,0.909,38,24,18,Portland Trail Blazers,POR,110,True,0.469,0.35,0.818,44,23,17,211,9
2023,0022300125,2023-11-01,UTA vs. MEM,Utah Jazz,UTA,133,True,0.54,0.512,0.708,50,35,21,Memphis Grizzlies,MEM,109,False,0.365,0.259,0.781,42,25,15,242,24
2023,0022300122,2023-11-01,CHA @ HOU,Houston Rockets,HOU,128,True,0.524,0.568,0.826,38,35,17,Charlotte Hornets,CHA,119,False,0.5,0.407,0.72,44,21,16,247,9
2023,0022300127,2023-11-01,LAL vs. LAC,Los Angeles Lakers,LAL,130,True,0.511,0.344,0.75,51,28,14,LA Clippers,LAC,125,False,0.475,0.412,0.63,46,22,13,255,5
2023,0022300117,2023-11-01,WAS @ ATL,Atlanta Hawks,ATL,130,True,0.5,0.281,0.906,57,26,20,Washington Wizards,WAS,121,False,0.505,0.25,0.643,35,32,11,251,9
2023,0022300130,2023-11-02,ORL @ UTA,Utah Jazz,UTA,113,False,0.461,0.364,0.731,48,27,20,Orlando Magic,ORL,115,True,0.459,0.345,0.75,43,27,17,228,2
2023,0022300131,2023-11-02,PHX vs. SAS,Phoenix Suns,PHX,121,False,0.538,0.5,0.731,34,26,14,San Antonio Spurs,SAS,132,True,0.52,0.486,0.923,41,37,8,253,11
2023,0022300129,2023-11-02,NOP vs. DET,New Orleans Pelicans,NOP,125,True,0.488,0.438,0.943,36,27,12,Detroit Pistons,DET,116,False,0.436,0.342,0.808,48,30,16,241,9
2023,0022300128,2023-11-02,PHI vs. TOR,Philadelphia 76ers,PHI,114,True,0.457,0.36,0.84,46,21,14,Toronto Raptors,TOR,99,False,0.481,0.357,0.684,41,30,19,213,15
2023,0022300005,2023-11-03,OKC vs. GSW,Oklahoma City Thunder,OKC,139,False,0.602,0.517,0.8,32,26,19,Golden State Warriors,GSW,141,True,0.533,0.45,0.833,38,36,15,280,2
2023,0022300001,2023-11-03,CLE @ IND,Indiana Pacers,IND,121,True,0.523,0.484,0.667,40,28,18,Cleveland Cavaliers,CLE,116,False,0.524,0.286,0.8,35,27,13,237,5
2023,0022300002,2023-11-03,MIL vs. NYK,Milwaukee Bucks,MIL,110,True,0.427,0.513,0.714,41,24,14,New York Knicks,NYK,105,False,0.396,0.256,0.76,56,18,10,215,5
2023,0022300007,2023-11-03,POR vs. MEM,Portland Trail Blazers,POR,115,True,0.406,0.281,0.778,50,19,14,Memphis Grizzlies,MEM,113,False,0.49,0.286,0.692,48,29,17,228,2
2023,0022300004,2023-11-03,BKN @ CHI,Chicago Bulls,CHI,107,False,0.483,0.393,0.714,42,21,10,Brooklyn Nets,BKN,109,True,0.458,0.4,0.6,39,32,8,216,2
2023,0022300003,2023-11-03,MIA vs. WAS,Miami Heat,MIA,121,True,0.6,0.481,0.857,37,35,19,Washington Wizards,WAS,114,False,0.568,0.464,0.529,30,33,20,235,7
2023,0022300006,2023-11-03,DEN vs. DAL,Denver Nuggets,DEN,125,True,0.527,0.433,0.737,51,33,17,Dallas Mavericks,DAL,114,False,0.477,0.405,0.882,34,27,15,239,11
2023,0022300138,2023-11-04,MIN vs. UTA,Minnesota Timberwolves,MIN,123,True,0.556,0.375,0.774,43,25,10,Utah Jazz,UTA,95,False,0.385,0.279,0.765,39,20,18,218,28
2023,0022300132,2023-11-04,PHI vs. PHX,Philadelphia 76ers,PHI,112,True,0.478,0.367,0.833,51,24,17,Phoenix Suns,PHX,100,False,0.36,0.257,0.818,42,22,10,212,12
2023,0022300139,2023-11-04,DEN vs. CHI,Denver Nuggets,DEN,123,True,0.519,0.444,0.767,49,31,11,Chicago Bulls,CHI,101,False,0.453,0.269,0.696,37,28,11,224,22
2023,0022300135,2023-11-04,NOP vs. ATL,New Orleans Pelicans,NOP,105,False,0.476,0.258,0.81,35,24,9,Atlanta Hawks,ATL,123,True,0.484,0.341,0.792,52,28,11,228,18
